Index,Type,Title,Director,Cast,Country,Release Date,Year,Rating,Duration,Genre,Description
435,Movie,Milkwater,Morgan Ingari,"Molly Bernard, Patrick Breen, Robin de JesÃºs, Ava Eisenson, Ade Otukoya",United States,2021-07-20,2020.0,TV-MA,102 min,"Comedies, Dramas, Independent Movies",Aimless 20-something Milo impulsively becomes a gay manâ€™s surrogate and wrestles with the emotional complexities of her non-traditional decision.
436,TV Show,Okupas,nan,"Rodrigo de la Serna, Diego Alonso, Ariel Staltari, Franco Tirri, Ana Celentano, Rosina Soto, Augusto BrÃ­tez, Dante Mastropierro, Susana Manchini, Diana Wells",Argentina,2021-07-20,2020.0,TV-MA,1 Season,"Classic & Cult TV, Crime TV Shows, International TV Shows","In 2000, a group of young men takes over a house in Buenos Aires, becoming squatters, while dealing with an increasingly violent and hostile city."
437,TV Show,Touch Your Heart,nan,"Lee Dong-wook, Yoo In-na, Lee Sang-woo, Son Sung-yoon, Oh Jung-se, Shim Hyoung-tak, Jang So-yeon, Park Ji-hwan, Lee Jun-hyuk",nan,2021-07-20,2019.0,TV-MA,1 Season,"Crime TV Shows, International TV Shows, Romantic TV Shows","Hoping to make a comeback after a bad scandal, an actress agrees to research a new role by taking a job as a secretary for a prickly attorney."
438,Movie,The Tambour of Retribution,Abdulaziz Alshlahei,"Faisal Al Dokhei, Adwa Fahad, Muhand Alsaleh, Rawya Ahmed, Ajeba Aldosary, Aly Ibrahim, Samer Elkhal, Hashem Hawsawi, Ibrahim Mesisebi, Shabib Alkhaleefa, Abdulateif Saud, Nada Alshehry, Dhay Nasser",Saudi Arabia,2021-07-19,2021.0,TV-14,91 min,"Dramas, International Movies, Romantic Movies","In an impoverished neighborhood, the son of a swordsman falls in love with the daughter of a wedding singer â€” a taboo match in a traditional society."
439,Movie,Cosmic Sin,Edward Drake,"Frank Grillo, Bruce Willis, Brandon Thomas Lee, Corey Large, Perrey Reeves, C.J. Perry, Lochlyn Munro, Costas Mandylor, Adelaide Kane, Eva De Dominici, Sarah May Sommers, Trevor Gretzky",United States,2021-07-17,2021.0,R,88 min,Action & Adventure,"In the year 2524, a disgraced retired general is called back into combat to help prevent an interstellar war against a hostile alien fleet."
440,Movie,2 Weeks in Lagos,Kathryn Fasegha,"Beverly Naya, Mawuli Gavor, Ajoke Silva, Jide Kosoko, Toyin Abraham, Okey Uzoeshi, Deyemi Okanlawon, Shaffy Bello, Tina Mba, Efe Irele",nan,2021-07-16,2020.0,TV-PG,107 min,"Dramas, International Movies, Romantic Movies",A businessman returns home to Nigeria and falls in love with a friend's sister despite his familyâ€™s plan for him to marry a politicianâ€™s daughter.
441,Movie,Deep,"Sita Likitvanichkul, Jetarin Ratanaserikiat, Apirak Samudkitpaisan, Thanabodee Uawithya, Adirek Wattaleela","Panisara Rikulsurakan, Kay Lertsittichai, Supanaree Sutavijitvong, Krit Jeerapattananuwong, Warisara Jitpreedasakul, Dujdao Vadhanapakorn, Kim Waddoup, Philaiwan Khamphirathat, Wongsakorn Rassamitat, Bhumibhat Thavornsiri",Thailand,2021-07-16,2021.0,TV-MA,101 min,"Dramas, International Movies, Thrillers",Four insomniac med school students are lured into a neuroscience experiment that spirals out of control â€” and must find a way out before itâ€™s too late.
442,TV Show,Explained,nan,nan,United States,2021-07-16,2021.0,TV-MA,3 Seasons,"Docuseries, Science & Nature TV","This enlightening series from Vox digs into a wide range of topics such as the rise of cryptocurrency, why diets fail, and the wild world of K-pop."
443,Movie,Fear Street Part 3: 1666,Leigh Janiak,"Kiana Madeira, Ashley Zukerman, Gillian Jacobs, Olivia Scott Welch, Benjamin Flores Jr., Darrell Britt-Gibson, Sadie Sink, Emily Rudd, McCabe Slye, Julia Rehwald, Fred Hechinger, Jordana Spiro, Jordyn DiNatale",nan,2021-07-16,2021.0,R,114 min,"Horror Movies, LGBTQ Movies","Thrust back to 1666, Deena learns the truth about Sarah Fier. Back in 1994, the friends fight for their lives â€” and Shadysideâ€™s future."
444,TV Show,Johnny Test,nan,"James Arnold Taylor, Trevor Devall, Maryke Hendrikse, Emily Tennant","United States, Canada",2021-07-16,2021.0,TV-Y7,1 Season,"Kids' TV, TV Comedies","How much trouble could one imaginative boy, his faithful dog and two science-loving sisters possibly get into? Hmm, that sounds like a challenge!"
445,Movie,La ley de Herodes,Luis Estrada,"DamiÃ¡n AlcÃ¡zar, Pedro ArmendÃ¡riz Jr., Delia Casanova, Juan Carlos Colombo, Alex Cox, Guillermo Gil, Ernesto GÃ³mez Cruz, Leticia Huijara, Luis de Icaza, Eduardo LÃ³pez Rojas, Manuel Ojeda, Salvador SÃ¡nchez, Evangelina Sosa, Isela Vega",nan,2021-07-16,1999.0,R,123 min,"Comedies, International Movies","Following the brutal 1949 murder of a small Mexican town's mayor, genteel and humble janitor Juan Vargas is appointed his successor."
446,TV Show,Naomi Osaka,Garrett Bradley,nan,nan,2021-07-16,2021.0,TV-14,1 Season,Docuseries,This intimate series follows Naomi Osaka as she explores her cultural roots and navigates her multifaceted identity as a tennis champ and rising leader.
447,Movie,The Beguiled,Sofia Coppola,"Colin Farrell, Nicole Kidman, Kirsten Dunst, Elle Fanning, Oona Laurence, Angourie Rice, Addison Riecke, Emma Howard",United States,2021-07-16,2017.0,R,94 min,"Dramas, Independent Movies, Thrillers","During the Civil War, a wounded Union soldier takes refuge at a Southern girls school, rupturing the calm amid growing sexual tension and infighting."
448,Movie,The Book of Henry,Colin Trevorrow,"Naomi Watts, Jaeden Martell, Jacob Tremblay, Sarah Silverman, Dean Norris, Lee Pace, Maddie Ziegler, Tonya Pinkins, Bobby Moynihan, Geraldine Hughes",United States,2021-07-16,2017.0,PG-13,105 min,Dramas,"An 11-year-old vows to help a new neighbor who he suspects is in danger, and documents his efforts in a series of written entries and audio recordings."
449,Movie,The Twilight Saga: Breaking Dawn: Part 1,Bill Condon,"Kristen Stewart, Robert Pattinson, Taylor Lautner, Billy Burke, Peter Facinelli, Elizabeth Reaser, Kellan Lutz, Nikki Reed, Jackson Rathbone, Ashley Greene",United States,2021-07-16,2011.0,PG-13,117 min,"Dramas, Romantic Movies","After a dream wedding, Bella and Edward enter a new nightmare when a shocking development forces life-or-death decisions."
450,Movie,The Twilight Saga: Breaking Dawn: Part 2,Bill Condon,"Kristen Stewart, Robert Pattinson, Taylor Lautner, Peter Facinelli, Elizabeth Reaser, Ashley Greene, Jackson Rathbone, Kellan Lutz, Nikki Reed, Billy Burke",United States,2021-07-16,2012.0,PG-13,115 min,"Dramas, Romantic Movies","In the epic series' final chapter, Bella and Edward's newborn daughter forces the couple into a life-altering confrontation with the Volturi."
451,Movie,The Twilight Saga: Eclipse,David Slade,"Kristen Stewart, Robert Pattinson, Taylor Lautner, Bryce Dallas Howard, Billy Burke, Dakota Fanning, Peter Facinelli, Elizabeth Reaser, Jackson Rathbone, Kellan Lutz, Ashley Greene, Nikki Reed",United States,2021-07-16,2010.0,PG-13,124 min,"Dramas, Romantic Movies","With a bloodthirsty enemy on a quest for revenge, Bella must reconcile her love for vampire Edward and her growing feelings for werewolf Jacob."
452,Movie,The Twilight Saga: New Moon,Chris Weitz,"Kristen Stewart, Robert Pattinson, Taylor Lautner, Ashley Greene, Rachelle Lefevre, Billy Burke, Michael Sheen, Dakota Fanning, Peter Facinelli, Elizabeth Reaser, Jackson Rathbone, Kellan Lutz, Nikki Reed, Edi Gathegi",United States,2021-07-16,2009.0,PG-13,131 min,"Dramas, Romantic Movies","Still reeling from the departure of vampire Edward Cullen, a heartbroken Bella Swan finds comfort in her friendship with werewolf Jacob Black."
453,Movie,Twilight,Catherine Hardwicke,"Kristen Stewart, Robert Pattinson, Billy Burke, Peter Facinelli, Elizabeth Reaser, Cam Gigandet, Ashley Greene, Anna Kendrick, Nikki Reed, Taylor Lautner, Jackson Rathbone, Kellan Lutz",United States,2021-07-16,2008.0,PG-13,122 min,"Action & Adventure, Dramas, Romantic Movies","When Bella Swan moves in with her father, she starts school and meets Edward, a mysterious classmate who reveals himself to be a 108-year-old vampire."
454,Movie,A Perfect Fit,Hadrah Daeng Ratu,"Nadya Arina, Refal Hady, Giorgino Abraham, Anggika Bolsterli, Laura Theux, Christine Hakim, Unique Priscilla, Karina Suwandi, Mathias Muchus, Ayu Laksmi, I Made Sidia, Dominique Sanda, Bryan Domani, Wafda Saifan, Yayu Unru, Dave Hendrik",Indonesia,2021-07-15,2021.0,TV-PG,113 min,"Comedies, Dramas, International Movies","Sparks fly when a fashion blogger in Bali meets a gifted shoemaker, leading her to question her commitment to her fiancÃ©."
455,TV Show,BEASTARS,nan,"Chikahiro Kobayashi, Sayaka Senbongi, Yuki Ono, Atsumi Tanezaki, Junya Enoki, Yuma Uchida, Takeo Otsuka, Naoto Kobayashi, Yoshiyuki Shimozuma, Nobuhiko Okamoto, Fukushi Ochiai, Takaaki Torashima, Sayumi Watabe, Genki Muro, Yuichi Iguchi, Yuko Hara, Ikuto Kanemasa, Ouchi Akane, Hibiku Yamamura, Sakura Ando, Akio Otsuka, Mitsuaki Hoshino, Kenyu Horiuchi",Japan,2021-07-15,2021.0,TV-MA,2 Seasons,"Anime Series, International TV Shows","In a world where beasts of all kinds coexist, a gentle wolf awakens to his own predatory urges as his school deals with a murder within its midst."
456,Movie,Cheech & Chong's Still Smokin,Tommy Chong,"Cheech Marin, Tommy Chong, Susan Hahn, Carol van Herwijnen, Shireen Strooker",nan,2021-07-15,1983.0,TV-MA,91 min,"Comedies, Cult Movies","Stoner comedians Cheech Marin and Tommy Chong arrive in Amsterdam to find they've been mistakenly invited, then take the stage live as a replacement act."
457,Movie,Emicida: AmarElo - Live in SÃ£o Paulo,Fred Ouro Preto,Emicida,nan,2021-07-15,2021.0,TV-MA,100 min,"Documentaries, International Movies, Music & Musicals","Brazilian rapper Emicida brings his progressive rhymes and eclectic beats to SÃ£o Paulo's Theatro Municipal as he performs hits from the album ""AmarElo."""
458,TV Show,Her Private Life,nan,"Park Min-young, Kim Jae-uk, Ahn Bo-hyun, Jung Je-won, Park Jin-joo, Kim Bo-ra, Maeng Sang-hun, Kim Mee-kyung, Kim Sun-young, Lee Il-hwa",South Korea,2021-07-15,2019.0,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies","An art curator's life unravels, as she tries to keep her pastime as a die-hard K-pop fan secret from her gallery's new director."
459,Movie,Lift Like a Girl,Mayye Zayed,nan,"Egypt, Denmark, Germany",2021-07-15,2021.0,TV-PG,93 min,"Documentaries, International Movies, Sports Movies","With the guidance of her relentless coach, a teen weightlifter emerges from a scrappy training camp in Egypt to compete at the championship level."
460,Movie,My Amanda,Alessandra de Rossi,"Piolo Pascual, Alessandra de Rossi, KC Montero, Alex Medina, Jess Mendoza, Helga Krapf, Joyce Ann Burton, Luz Valdez",nan,2021-07-15,2021.0,TV-14,90 min,"Dramas, International Movies, Romantic Movies","Two unusually close friends share every aspect of their lives together. As their lives evolve, their bond remains the only constant."
461,TV Show,Never Have I Ever,nan,"Maitreyi Ramakrishnan, Poorna Jagannathan, Richa Moorjani, Jaren Lewison, Darren Barnet, John McEnroe, Ramona Young, Lee Rodriguez, Sendhil Ramamurthy, Adam Shapiro, Niecy Nash, Cocoa Brown, Lily D. Moore, Eddie Liu",United States,2021-07-15,2021.0,TV-14,2 Seasons,"TV Comedies, TV Dramas, Teen TV Shows","After a traumatic year, all an Indian-American teen wants is to go from pariah to popular â€” but friends, family and feelings wonâ€™t make it easy on her."
462,Movie,Surf's Up,"Ash Brannon, Chris Buck","Shia LaBeouf, Jeff Bridges, Zooey Deschanel, Jon Heder, James Woods, Diedrich Bader, Mario Cantone, Kelly Slater, Rob Machado, Sal Masekela","United States, Canada",2021-07-15,2007.0,PG,86 min,"Children & Family Movies, Comedies, Sports Movies",This Oscar-nominated animated comedy goes behind the scenes at the Penguin World Surfing Championship to get a close-up look at the inventors of surfing.
463,Movie,The Unknown Saint,Alaa Eddine Aljem,"Younes Bouab, Salah Bensalah, Bouchaib Essamak, Mohamed Naimane, Anas Elbaz, Hassan Ben Badida, Abdelghani Kitab, Ahmed Yarziz, Rachid El Adouani, Mohamed El Moutamassik, Abdel Ghani Benizza, Adam Morjany",nan,2021-07-15,2019.0,TV-14,100 min,"Comedies, Dramas, Independent Movies","Following a stint behind bars, a thief returns to where he buried his loot, only to find that his hiding spot is now a shrine to an unknown saint."
464,Movie,This Changes Everything,Tom Donahue,nan,United States,2021-07-15,2019.0,TV-MA,96 min,Documentaries,This documentary takes a deep look at gender disparity in Hollywood through the eyes of well-known actresses and female filmmakers.
465,Movie,A Classic Horror Story,"Roberto De Feo, Paolo Strippoli","Matilda Lutz, Francesco Russo, Peppino Mazzotta, Will Merrick, Yuliia Sobol, Alida Baldari Calabria, Cristina Donadio, Francesca Cavallin",Italy,2021-07-14,2021.0,TV-MA,95 min,"Horror Movies, International Movies","In this gruesome suspense film, strangers traveling in southern Italy become stranded in the woods, where they must fight desperately to get out alive."
466,Movie,Gunpowder Milkshake,Navot Papushado,"Karen Gillan, Lena Headey, Carla Gugino, Chloe Coleman, Michelle Yeoh, Angela Bassett, Paul Giamatti, Ralph Ineson, Adam Nagaitis, Michael Smiley, Freya Allan",nan,2021-07-14,2021.0,R,115 min,"Action & Adventure, Comedies","When an assassin veers off mission to rescue a child, she triggers a war with a powerful crime syndicate â€” and reunites a gun-wielding sisterhood."
467,TV Show,My Unorthodox Life,nan,nan,nan,2021-07-14,2021.0,TV-MA,1 Season,Reality TV,"Follow Julia Haart, Elite World Group CEO and a former member of an ultra-Orthodox Jewish community, and her adult kids in this reality series."
468,TV Show,Cat People,nan,nan,nan,2021-07-07,2021.0,TV-14,1 Season,Docuseries,"Cat people come in all shapes and sizes, but they share a love for their enchanting, unique feline friends. This docuseries reveals their tales."
469,TV Show,Dogs,nan,nan,United States,2021-07-07,2021.0,TV-PG,2 Seasons,Docuseries,"These six intimate stories explore the abiding emotional bonds that form between dogs and their caregivers, no matter the circumstances."
470,TV Show,Heist,nan,nan,nan,2021-07-14,2021.0,TV-MA,1 Season,"Crime TV Shows, Docuseries",Millions in stolen cash. Missing luxury bourbon. Watch ordinary people almost get away with these extraordinary heists in this true crime series.
471,Movie,Private Network: Who Killed Manuel BuendÃ­a?,Manuel AlcalÃ¡,Daniel GimÃ©nez Cacho,nan,2021-07-14,2021.0,TV-MA,100 min,"Documentaries, International Movies",A deep dive into the work of renowned Mexican journalist Manuel BuendÃ­a looks to unravel his murder and the ties between politics and drug trafficking.
472,Movie,The Guide to the Perfect Family,Ricardo Trogi,"Louis Morissette, Ã‰milie Bierre, Catherine Chabot, Xavier Lebel, Isabelle GuÃ©rard, Gilles Renaud, Alexandre Goyette, Jean-Carl Boucher, Louise Portal",nan,2021-07-14,2021.0,TV-MA,102 min,"Comedies, Dramas, International Movies","A couple in QuÃ©bec deals with the pitfalls, pressure and high expectations of raising kids in a society obsessed with success and social media image."
473,Movie,American Woman,Semi Chellas,"Hong Chau, Sarah Gadon, John Gallagher Jr., Lola Kirke, Ellen Burstyn, David Cubitt, Jordan Pettle, Richard Walters","United States, Canada",2021-07-13,2019.0,TV-MA,87 min,"Dramas, Independent Movies","In rural Pennsylvania, a working-class single mom must pick up the pieces and step up to raise her grandson after her daughter suddenly disappears."
474,Movie,Bridgerton - The Afterparty,nan,"David Spade, London Hughes, Fortune Feimster",nan,2021-07-13,2021.0,TV-14,39 min,Movies,"""Bridgerton"" cast members share behind-the-scenes stories from the hit show, plus comedian Nikki Glaser breaks down the costume drama's sexiest moments."
475,Movie,Day of Destiny,"Akay Mason, Abosi Ogba","Olumide Oworu, Denola Grey, Gbemi Akinlade, Jide Kosoko, Ireti Doyle, Norbert Young, Toyin Abraham, Blossom Chukwujekwu, Broda Shaggi, Ini Dima-Okojie, Deyemi Okanlawon",nan,2021-07-13,2021.0,TV-PG,110 min,"Children & Family Movies, Dramas, International Movies","With their family facing financial woes, two teen brothers seize an opportunity to reverse their bad fortunes by traveling 20 years back in time."
476,TV Show,Ridley Jones,nan,"Iara Nemirovsky, Laraine Newman, David Errigo Jr, Tyler Shamy, Ezra Menas, Ashlyn Madden, Sutton Foster",United States,2021-07-13,2021.0,TV-Y,1 Season,Kids' TV,Curious kid Ridley and her friends protect the Museum of Natural Historyâ€™s treasures and keep its magical secret safe: Everything comes alive at night!
477,Movie,Born to Play,Viridiana Lieberman,nan,United States,2021-07-12,2020.0,TV-MA,93 min,"Documentaries, Sports Movies","This documentary follows the Boston Renegades â€” an all-woman, tackle football team â€” as they risk their time, families and day jobs for the game."
478,Movie,American Ultra,Nima Nourizadeh,"Jesse Eisenberg, Kristen Stewart, Topher Grace, Connie Britton, Walton Goggins, John Leguizamo, Bill Pullman, Tony Hale, Lavell Crawford, Stuart Greer","United States, Switzerland",2021-07-10,2015.0,R,96 min,"Action & Adventure, Comedies","He's just a weed fiend going nowhere, or so he thinks. When the CIA tries to eliminate him, his long-dormant superspy training comes roaring back."
479,Movie,The Stand-Up,Daniel RÅ¯Å¾iÄka,"Iva PazderkovÃ¡, LukÃ¡Å¡ PavlÃ¡sek, Daniel ÄŒech, Petr Cerha, OndÅ™ej HavlÃ­k, Radek PetrÃ¡Å¡, ZbynÄ›k ViÄar, Pavel TomeÅ¡, Nela Berg",nan,2021-07-10,2019.0,TV-MA,93 min,Stand-Up Comedy,Members of the comedy group Na StojÃ¡ka take the stage and the mic by storm for a special night of stand-up comedy.
480,Movie,The Tour,Juraj Å ajmoviÄ,"MiloÅ¡ Knor, LukÃ¡Å¡ PavlÃ¡sek, TomÃ¡Å¡ Matonoha, Ester KoÄiÄkovÃ¡, Michal KavalÄÃ­k, Richard NedvÄ›d",nan,2021-07-10,2016.0,TV-MA,93 min,"Comedies, Documentaries, International Movies","MiloÅ¡ Knor brings comedians LukÃ¡Å¡ PavlÃ¡sek, TomÃ¡Å¡ Matonoha, Ester KoÄiÄkovÃ¡, Michal KavalÄÃ­k and Richard NedvÄ›d on a tour around the Czech Republic."
481,TV Show,Atypical,nan,"Jennifer Jason Leigh, Keir Gilchrist, Michael Rapaport, Brigette Lundy-Paine, Amy Okuda, Jenna Boyd, Graham Rogers, Nik Dodani",United States,2021-07-09,2021.0,TV-14,4 Seasons,"TV Comedies, TV Dramas, Teen TV Shows","When a teen on the autism spectrum decides to get a girlfriend, his bid for more independence puts his whole family on a path of self-discovery."
482,TV Show,Biohackers,nan,"Luna Wedler, Jessica Schwarz, Adrian Julius Tillmann, Thomas Prenn, Jing Xiang, Caro Cult, Sebastian Jakob Doppelbauer",Germany,2021-07-09,2021.0,TV-MA,2 Seasons,"International TV Shows, TV Dramas, TV Sci-Fi & Fantasy",A medical student enters a top German university on a secret mission to uncover a conspiracy linking a family tragedy to a visionary biology professor.
483,Movie,Fear Street Part 2: 1978,Leigh Janiak,"Sadie Sink, Emily Rudd, Ryan Simpkins, McCabe Slye, Ted Sutherland, Jordana Spiro, Gillian Jacobs, Kiana Madeira, Benjamin Flores Jr., Ashley Zukerman, Olivia Scott Welch, Chiara Aurelia, Jordyn DiNatale",nan,2021-07-09,2021.0,R,111 min,Horror Movies,"In the cursed town of Shadyside, a killer's murder spree terrorizes Camp Nightwing and turns a summer of fun into a gruesome fight for survival."
484,Movie,Finding Hubby,Femi D. Ogunsanwo,"Ade Laoye, Munachi Abii, Kehinde Bankole, Charles Etubiebi, Paul Utomi, Efa Iwara, Tina Mba, Tope Tedela, Demi Banwo, Teniola Aladese, Delroy Norman, Omowunmi Dada",nan,2021-07-09,2020.0,TV-14,105 min,"Comedies, Dramas, International Movies","Oyin and her two close friends are on the hunt for husbands, but find that they must grapple with their own expectations as they look for love."
485,Movie,How I Became a Superhero,Douglas Attal,"Pio MarmaÃ¯, Vimala Pons, BenoÃ®t Poelvoorde, LeÃ¯la Bekhti, Swann Arlaud, Gilles Cohen, LÃ©onie Souchaud, Camille Japy, Louis Peres, ThÃ©o Christine",nan,2021-07-09,2021.0,TV-MA,101 min,"Action & Adventure, Dramas, International Movies","In a world where humans and superheroes coexist, a lone wolf cop teams up with a bright detective to dismantle a dark plot to extract superpowers."
486,TV Show,How to Become a Tyrant,nan,Peter Dinklage,nan,2021-07-09,2021.0,TV-MA,1 Season,Docuseries,"Ruling with an iron fist requires an aspiring dictator to know the playbook for absolute power, as history's despots prove in this sardonic docuseries."
487,Movie,Last Summer,nan,"Fatih Åžahin, Ece Ã‡eÅŸmioÄŸlu, Halit Ã–zgÃ¼r SarÄ±, AslÄ±han Malbora, Eray ErtÃ¼ren, Eren Ã–ren, Ozan Kaya Oktu, Talha Ã–ztÃ¼rk, Merve Nur Bengi, SÃ¼meyye AydoÄŸan",nan,2021-07-09,2021.0,TV-MA,102 min,"Dramas, International Movies, Romantic Movies","During summer vacation in a beachside town, 16-year-old Deniz seeks the affection of his childhood crush and navigates a love triangle."
488,Movie,Lee Su-geun: The Sense Coach,Kim Joo-hyung,Lee Su-geun,nan,2021-07-09,2021.0,TV-G,46 min,Stand-Up Comedy,"Lee Su-geun's rise to Korean comedy stardom went hand in hand with his mastery over picking up social cues. Now, he's ready to share his know-hows."
489,Movie,Lethal Love,Avi Federgreen,"David Pinard, Joelle Farrow, Torri Higginson, Tommie-Amber Pirie",nan,2021-07-09,2021.0,TV-14,89 min,Thrillers,"After a business owner starts receiving online threats, doubts and paranoia creep in when she reconnects with a former flame and meets a new client."
490,Movie,Ratchet and Clank,"Jericca Cleland, Kevin Munroe","Paul Giamatti, John Goodman, Bella Thorne, Rosario Dawson, Jim Ward, Armin Shimerman, Vincent Tong, Andrew Cownden, James Arnold Taylor, David Kaye, Sylvester Stallone","Hong Kong, Canada, United States",2021-07-09,2016.0,PG,94 min,"Children & Family Movies, Comedies, Sci-Fi & Fantasy",Affable alien Ratchet longs to be a Galactic Ranger and might get the chance when rogue robot Clank tells him of evil Drek's plot to destroy a galaxy.
491,TV Show,The Cook of Castamar,nan,"Michelle Jenner, Roberto EnrÃ­quez, Hugo Silva, Maxi Iglesias, MarÃ­a HervÃ¡s, AgnÃ¨s Llobet, Paula Usero, Jean Cruz, Ã“scar RabadÃ¡n, Fiorella Faltoyano, Nancho Novo, Silvia Abascal, MÃ³nica LÃ³pez",nan,2021-07-09,2021.0,TV-MA,1 Season,"International TV Shows, Romantic TV Shows, Spanish-Language TV Shows","In 1720 Madrid, a talented cook catches the eye of a widowed duke just as he returns to aristocratic society. Based on the novel by Fernando J. MÃºÃ±ez."
492,TV Show,Virgin River,nan,"Alexandra Breckenridge, Martin Henderson, Tim Matheson, Annette O'Toole, Colin Lawrence, Jenny Cooper, Lauren Hammersley",United States,2021-07-09,2021.0,TV-14,3 Seasons,"Romantic TV Shows, TV Dramas","Searching for a fresh start, a nurse practitioner moves from LA to a remote northern California town and is surprised by what â€“ and who â€“ she finds."
493,Movie,Back to Q82,Ahmed Siddiqui,"Jassim Al Nabhan, Abdel Imam Abdullah, Abdulaziz El Nassar, Khalid Muthafar, Amal Anbari, Ali Al-Hamdaan, El Hussein Abd, Nawaf Al Shemmeri, Bashar Abd Alah, Naser Albouloshy","Kuwait, United States",2021-07-08,2017.0,TV-14,104 min,"Comedies, International Movies","Eager to rejoin her divorced parents, an inventor's daughter drives his time-traveling car back to 1982. But a secret crush accidentally follows."
494,TV Show,Elize Matsunaga: Once Upon a Crime,nan,nan,nan,2021-07-08,2021.0,TV-MA,1 Season,"Crime TV Shows, Docuseries, International TV Shows","The crime shocked Brazil: Elize Matsunaga shot and dismembered her rich husband. Featuring her first interview, this docuseries dives deep into the case."
495,Movie,Home Again,Hallie Meyers-Shyer,"Reese Witherspoon, Michael Sheen, Candice Bergen, Nat Wolff, Jon Rudnitsky, Pico Alexander, Lake Bell, Reid Scott, Dolly Wells, Lola Flanery, Eden Grace Redfield, P.J. Byrne",United States,2021-07-08,2017.0,PG-13,97 min,"Comedies, Dramas, Romantic Movies","A newly single mom takes in three young male filmmakers as boarders, but her estranged husband returns to complicate her new, unconventional life."
496,Movie,Midnight Sun,Scott Speer,"Bella Thorne, Patrick Schwarzenegger, Rob Riggle, Quinn Shephard, Suleka Mathew, Tiera Skovbye, Ken Tremblett, Norm Misura, Austin Obiajunwa, Nicholas Coombe",United States,2021-07-08,2018.0,PG-13,91 min,"Dramas, Romantic Movies","Born with a fatal sensitivity to sunlight, a sheltered teen girl falls for her neighbor, but hides her condition from him as their romance blossoms."
497,TV Show,RESIDENT EVIL: Infinite Darkness,nan,"Nick Apostolides, Stephanie Panisello, Ray Chase, Jona Xiao, Billy Kametz, Joe J. Thomas, Doug Stone, Brad Venable, Toshiyuki Morikawa, Yuhko Kaida, Fumihiko Tachiki, Megumi Han, Kenji Nojima, Kazuhiko Inoue, Aruno Tahara, Mitsuru Ogata","United States, Japan",2021-07-08,2021.0,TV-MA,1 Season,"Anime Series, TV Horror, TV Thrillers","Years after the horrors of Raccoon City, Leon and Claire find themselves consumed by a dark conspiracy when a viral attack ravages the White House."
498,Movie,Rock the Kasbah,Barry Levinson,"Bill Murray, Kate Hudson, Zooey Deschanel, Danny McBride, Scott Caan, Leem Lubany, Bruce Willis, Arian Moayed, Taylor Kinney, Glenn Fleshler",United States,2021-07-08,2015.0,R,106 min,"Comedies, Music & Musicals","When a has-been music producer gets stuck in Afghanistan he discovers a girl with a wonderful voice, then has to find a way to market her talents."
499,Movie,Awon Boyz,Tolulope Itegboje,nan,nan,2021-07-07,2019.0,TV-MA,38 min,"Documentaries, International Movies",This documentary takes a close look at the lives and passions of the men and boys who hustle or run with a gang on the streets of Lagos.
500,Movie,Brick Mansions,Camille Delamarre,"Paul Walker, David Belle, RZA, Gouchy Boy, Catalina Denis, Ayisha Issa, Carlo Rota, Andreas Apergis, Richard Zeman, Robert Maillet","France, Canada, United States, Spain",2021-07-07,2014.0,PG-13,90 min,"Action & Adventure, International Movies",An undercover police detective partners with an ex-convict to take down a drug kingpin amid grime and crime in a walled-off Detroit housing project.
501,Movie,Clash,Pascal Atuma,"Omoni Oboli, Brian Hooks, Stephanie Linus, Merlisa Determined, Pascal Atuma, Derel Isaac, Naima Sundiata, Chealse Howell, Dashawn Francis, Percy Anane-Dwumfour",nan,2021-07-07,2020.0,TV-MA,87 min,"Dramas, International Movies","When the patriarch of an emigrant Nigerian family visits their female-led Canadian home, traditional values collide with newer ones."
502,Movie,Major Grom: Plague Doctor,Oleg Trofim,"Tikhon Zhiznevskiy, Lyubov Aksyonova, Alexei Maklakov, Aleksandr Seteykin, Sergei Goroshko, Dmitriy Chebotarev, Mikhail Evlanov, Oleg Chugunov, Vitali Khayev, Anton Bogdanov, Nikita Kologrivy, Yuriy Nasonov",nan,2021-07-07,2021.0,TV-MA,138 min,"Action & Adventure, International Movies","When a masked vigilanteâ€™s killing spree throws a city into chaos, a renegade detective and his rookie partner are the only ones who can stop it."
503,Movie,Mama Drama,Seyi Babatope,"Osas Ighodaro, Kunle Remi, Kehinde Bankole, Femi Adebayo, Shaffy Bello, Adunni Ade, Chinyere Wilfred, Olive Emodi, Rekiya Attah, Opeyemi Ayeola",nan,2021-07-07,2020.0,TV-MA,105 min,"Dramas, International Movies","After years of fertility issues and her mother-in-law's nagging, a woman hires her assistant as a surrogate. But things donâ€™t go as smoothly as planned."
504,Movie,Tango With Me,Mahmood Ali-Balogun,"Genevieve Nnaji, Joseph Benjamin, Joke Silva, Tina Mba, Ahmed Yerima, Bimbo Manuel, Sade Alder-Hayes",Nigeria,2021-07-07,2010.0,TV-14,104 min,"Dramas, International Movies, Romantic Movies",A newly married couple journeys through self-discovery and healing while dealing with the aftermath of a traumatic event on their wedding night.
